DateTime,IsoWeekday,A,B,C,G,H,P,U
2018-09-20 22:00:00.759095,4,1291,1912,1344,924,925,243,640
2018-09-20 22:15:00.824580,4,1463,2130,1561,1039,1065,257,689
2018-09-20 22:30:00.811994,4,1535,2265,1646,1108,1145,265,719
2018-09-20 22:45:00.752505,4,1563,2343,1686,1131,1182,273,728
2018-09-20 23:00:00.880517,4,1596,2393,1708,1173,1229,276,744
2018-09-20 23:15:02.680341,4,1611,2424,1735,1197,1248,285,760
2018-09-20 23:30:00.792791,4,1628,2458,1757,1205,1263,291,767
2018-09-20 23:45:00.795802,4,1646,2482,1776,1229,1286,294,776
2018-09-21 00:00:00.814440,5,1661,2512,1799,1266,1322,295,781
2018-09-21 00:15:06.379794,5,1675,2528,1816,1285,,299,787
2018-09-21 00:30:07.960868,5,738,2542,848,1336,,304,790
2018-09-21 00:45:00.761007,5,752,2548,857,1357,,305,792
2018-09-21 01:00:09.435609,5,755,2560,861,1373,,308,796
2018-09-21 01:15:00.751405,5,755,2565,865,1374,,308,797
2018-09-21 01:30:00.738792,5,759,2566,870,1389,,309,802
2018-09-21 01:45:00.726179,5,761,2570,867,1388,1437,309,802
2018-09-21 02:00:00.760441,5,768,2575,870,1406,1452,310,805
2018-09-21 02:15:07.888232,5,773,2581,873,1426,1461,310,805
2018-09-21 02:30:01.641432,5,780,2584,874,1443,1473,310,806
2018-09-21 02:45:02.628820,5,786,2589,875,1459,1484,310,807
2018-09-21 03:00:06.209831,5,790,2592,879,1477,1497,311,807
2018-09-21 03:15:01.572374,5,792,2595,879,1477,1498,311,807
2018-09-21 03:30:00.747293,5,792,2597,881,1482,1501,311,807
2018-09-21 03:45:00.781555,5,793,2599,881,1482,1502,311,807
2018-09-21 04:00:00.753320,5,793,2597,881,1482,1502,311,808
2018-09-21 04:15:00.725078,5,794,2598,881,1482,1504,311,807
2018-09-21 04:30:00.774965,5,797,2597,882,1481,1503,312,807
2018-09-21 04:45:00.762351,5,795,2597,882,1484,1506,311,808
2018-09-21 05:00:00.734113,5,795,2597,883,1484,1507,312,822
2018-09-21 05:15:00.721532,5,794,2598,884,1486,1507,311,820
2018-09-21 05:30:00.740168,5,796,2596,885,1485,1507,312,820
2018-09-21 05:45:08.008553,5,796,2594,883,1483,1505,312,821
2018-09-21 06:00:02.980504,5,793,2592,881,1475,1502,311,818
2018-09-21 06:15:00.749204,5,791,2584,874,1470,1493,312,814
2018-09-21 06:30:00.908466,5,789,2564,868,1465,1480,311,809
2018-09-21 06:45:00.739603,5,785,2539,852,1447,1461,310,802
2018-09-21 07:00:00.758242,5,772,2487,837,1430,1437,309,784
2018-09-21 07:15:00.745628,5,761,2436,821,1407,1416,309,762
2018-09-21 07:30:00.748638,5,746,2387,800,1227,1302,309,670
2018-09-21 07:45:00.704808,5,729,2322,777,1197,1263,308,658
2018-09-21 08:00:00.801569,5,700,2235,746,1164,1227,308,635
2018-09-21 08:15:00.773330,5,648,2121,716,1139,1186,308,607
2018-09-21 08:30:00.776342,5,596,1976,658,1091,1130,307,584
2018-09-21 08:45:00.779354,5,526,1819,598,1009,1054,307,555
2018-09-21 09:00:00.766740,5,434,1655,506,928,959,307,521
2018-09-21 09:15:00.754127,5,336,1462,394,837,856,304,478
2018-09-21 09:30:00.757139,5,221,1295,281,714,717,300,429
2018-09-21 09:45:00.775776,5,133,1131,183,600,599,294,394
2018-09-21 10:00:00.794411,5,56,962,76,485,482,285,360
2018-09-21 10:15:00.766174,5,284,811,FULL,363,362,279,330
2018-09-21 10:30:06.019030,5,170,665,209,254,254,269,308
2018-09-21 10:45:00.787855,5,100,545,117,158,157,256,277
2018-09-21 11:00:00.822117,5,34,444,71,89,91,239,252
2018-09-21 11:15:00.793880,5,FULL,340,19,31,31,226,236
2018-09-21 11:30:01.140642,5,FULL,250,FULL,FULL,FULL,209,212
2018-09-21 11:45:00.768654,5,FULL,167,FULL,FULL,FULL,185,186
2018-09-21 12:00:00.802918,5,FULL,70,FULL,FULL,FULL,172,157
2018-09-21 12:15:00.790303,5,FULL,FULL,8,FULL,FULL,154,137
2018-09-21 12:30:00.777662,5,FULL,FULL,FULL,FULL,FULL,132,119
2018-09-21 12:45:00.765078,5,FULL,FULL,FULL,FULL,FULL,100,97
2018-09-21 13:00:00.768122,5,FULL,FULL,FULL,FULL,FULL,83,64
2018-09-21 13:15:00.786757,5,FULL,FULL,FULL,FULL,FULL,58,35
2018-09-21 13:30:00.774143,5,FULL,FULL,FULL,FULL,FULL,31,10
2018-09-21 13:45:00.761531,5,FULL,FULL,FULL,FULL,FULL,7,FULL
2018-09-21 14:00:01.077044,5,FULL,43,FULL,FULL,FULL,5,FULL
2018-09-21 14:15:00.767554,5,FULL,FULL,9,FULL,FULL,4,12
2018-09-21 14:30:00.754941,5,FULL,FULL,FULL,FULL,FULL,9,FULL
2018-09-21 14:45:00.757954,5,FULL,70,FULL,FULL,FULL,18,8
2018-09-21 15:00:00.776590,5,FULL,49,FULL,FULL,FULL,26,12
2018-09-21 15:15:03.795106,5,
2018-09-21 15:30:00.767021,5,FULL,44,FULL,FULL,FULL,37,22
2018-09-21 15:45:00.770032,5,FULL,FULL,FULL,FULL,FULL,32,17
